imagename,label
LT04_L1GS_189036_19880513_20170208_01_T2_MTL,0
LT04_L1TP_192054_19901202_20170128_01_T1_MTL,0
LT04_L1TP_181020_19920601_20170122_01_T1_MTL,0
LT04_L1TP_183015_19880908_20170206_01_T1_MTL,1
LT04_L1TP_189027_19920711_20170122_01_T1_MTL,1
LT04_L1TP_181028_19880724_20170208_01_T1_MTL,1
LT04_L1GS_183065_19871227_20170210_01_T2_MTL,1
LT04_L1TP_001087_19900311_20170131_01_T1_MTL,1
LT04_L1TP_180064_19900213_20170131_01_T1_MTL,0
LT04_L1GS_182022_19871220_20170210_01_T2_MTL,0
LT04_L1TP_188041_19871230_20170210_01_T1_MTL,1
LT04_L1GS_007119_19881212_20170205_01_T2_MTL,0
LT04_L1TP_193029_19880728_20170208_01_T1_MTL,1
LT04_L1GS_006021_19881205_20170205_01_T2_MTL,0
LT04_L1GS_185061_19880922_20170206_01_T2_MTL,1
LT04_L1GS_006060_19880409_20170209_01_T2_MTL,0
LT04_L1GS_002225_19890705_20170202_01_T2_MTL,1
LT04_L1GS_009061_19920612_20170123_01_T2_MTL,1
LT04_L1TP_186061_19880321_20170209_01_T1_MTL,0
LT04_L1TP_186020_19920706_20170123_01_T1_MTL,0
LT04_L1GS_001083_19890612_20170203_01_T2_MTL,1
LT04_L1GS_001114_19890103_20170205_01_T2_MTL,0
LT04_L1GS_183112_19900101_20170201_01_T2_MTL,0
LT04_L1GS_186028_19920706_20170122_01_T2_MTL,1
LT04_L1TP_184055_19880307_20170209_01_T1_MTL,1
LT04_L1TP_184014_19880526_20170208_01_T1_MTL,1
LT04_L1GS_004074_19880310_20170209_01_T2_MTL,0
LT04_L1TP_006056_19880120_20170210_01_T1_MTL,0
LT04_L1GS_184023_19890630_20170202_01_T2_MTL,1
LT04_L1GS_190130_19890115_20170204_01_T2_MTL,0
LT04_L1TP_185033_19910510_20170127_01_T1_MTL,1
LT04_L1TP_007064_19890724_20170202_01_T1_MTL,1
LT04_L1TP_181026_19890711_20170202_01_T1_MTL,1
LT04_L1GS_010054_19891001_20170201_01_T2_MTL,1
LT04_L1TP_181023_19890625_20170202_01_T1_MTL,1
LT04_L1GS_188022_19880506_20170209_01_T2_MTL,0
LT04_L1TP_181023_19890711_20170202_01_T1_MTL,1
LT04_L1GS_183022_19890623_20170202_01_T2_MTL,0
LT04_L1TP_180044_19880123_20170209_01_T1_MTL,0
LT04_L1GS_190122_19890131_20170204_01_T2_MTL,0
LT04_L1TP_193023_19881117_20170206_01_T1_MTL,1
LT04_L1TP_183042_19881229_20170205_01_T1_MTL,0
LT04_L1GS_182013_19880816_20170206_01_T2_MTL,1
LT04_L1GS_185058_19900523_20170131_01_T2_MTL,1
LT04_L1TP_183033_19910816_20170125_01_T1_MTL,1
LT04_L1GS_185049_19880211_20170209_01_T2_MTL,0
LT04_L1TP_184027_19880830_20170206_01_T1_MTL,1
LT04_L1TP_189024_19880513_20170208_01_T1_MTL,1
LT04_L1GS_007055_19890724_20170202_01_T2_MTL,1
LT04_L1TP_181016_19880809_20170207_01_T1_MTL,1
LT04_L1TP_181029_19880724_20170208_01_T1_MTL,1
LT04_L1GS_184062_19890105_20170204_01_T2_MTL,1
LT04_L1GS_010037_19871113_20170210_01_T2_MTL,0
LT04_L1TP_187020_19890721_20170202_01_T1_MTL,0
LT04_L1GS_182016_19880917_20170206_01_T2_MTL,1
LT04_L1GS_184028_19880424_20170209_01_T2_MTL,1
LT04_L1GS_183028_19871227_20170210_01_T2_MTL,1
LT04_L1TP_180055_19880123_20170209_01_T1_MTL,0
LT04_L1TP_184024_19880526_20170208_01_T1_MTL,0
LT04_L1TP_007068_19890825_20170202_01_T1_MTL,1
LT04_L1TP_191028_19910723_20170126_01_T1_MTL,1
LT04_L1TP_008057_19891222_20170201_01_T1_MTL,1
LT04_L1GS_006119_19890122_20170204_01_T2_MTL,0
LT04_L1TP_001077_19890612_20170203_01_T1_MTL,1
LT04_L1GS_184064_19890206_20170204_01_T2_MTL,0
LT04_L1TP_181031_19881129_20170205_01_T1_MTL,1
LT04_L1TP_007056_19890724_20170202_01_T1_MTL,1
LT04_L1GS_181030_19881129_20170205_01_T2_MTL,1
LT04_L1GS_010036_19871231_20170210_01_T2_MTL,0
LT04_L1GS_009061_19920628_20170123_01_T2_MTL,1
LT04_L1GS_184036_19880307_20170209_01_T2_MTL,0
LT04_L1GS_006051_19880409_20170209_01_T2_MTL,1
LT04_L1TP_189029_19920929_20170121_01_T1_MTL,1
LT04_L1GS_006059_19880511_20170208_01_T2_MTL,0
LT04_L1GS_007054_19881110_20170206_01_T2_MTL,1
LT04_L1GS_004060_19880411_20170209_01_T2_MTL,1
LT04_L1GS_181021_19880910_20170206_01_T2_MTL,0
LT04_L1GS_004074_19880411_20170209_01_T2_MTL,0
LT04_L1TP_008053_19890731_20170202_01_T1_MTL,1
LT04_L1TP_192040_19880315_20170209_01_T1_MTL,0
LT04_L1TP_004059_19880122_20170209_01_T1_MTL,0
LT04_L1GS_001118_19890204_20170204_01_T2_MTL,0
LT04_L1TP_004047_19871205_20170210_01_T1_MTL,1
LT04_L1GS_184016_19880424_20170209_01_T2_MTL,1
LT04_L1GS_183061_19871024_20170210_01_T2_MTL,1
LT04_L1TP_193043_19880509_20170208_01_T1_MTL,0
LT04_L1GS_183021_19890911_20170201_01_T2_MTL,0
LT04_L1GS_181025_19880419_20170209_01_T2_MTL,1
LT04_L1GS_180019_19880818_20170206_01_T2_MTL,1
LT04_L1TP_008056_19890325_20170204_01_T1_MTL,1
LT04_L1TP_189021_19880513_20170208_01_T1_MTL,0
LT04_L1TP_184022_19890513_20170203_01_T1_MTL,1
LT04_L1TP_180031_19871206_20170210_01_T1_MTL,1
LT04_L1GS_004070_19880326_20170209_01_T2_MTL,1
LT04_L1GS_182029_19880528_20170208_01_T2_MTL,1
LT04_L1TP_008055_19910110_20170129_01_T1_MTL,1
LT04_L1TP_193046_19880509_20170208_01_T1_MTL,1
LT04_L1GS_189059_19880223_20170209_01_T2_MTL,0
LT04_L1GS_186062_19871114_20170210_01_T2_MTL,0
LT04_L1GS_191117_19891122_20170201_01_T2_MTL,0
LT04_L1GS_184016_19880814_20170207_01_T2_MTL,1
LT04_L1GS_005024_19821112_20170220_01_T2_MTL,0
LT04_L1GS_185060_19890402_20170204_01_T2_MTL,1
LT04_L1GS_188044_19881029_20170205_01_T2_MTL,1
LT04_L1GS_180010_19880717_20170208_01_T2_MTL,0
LT04_L1GS_006013_19881119_20170205_01_T2_MTL,0
LT04_L1GS_002225_19900214_20170131_01_T2_MTL,1
LT04_L1GS_006115_19891208_20170201_01_T2_MTL,0
LT04_L1GS_182023_19900518_20170130_01_T2_MTL,1
LT04_L1TP_183025_19880722_20170208_01_T1_MTL,1
LT04_L1GS_186013_19880812_20170207_01_T2_MTL,1
LT04_L1TP_006059_19871101_20170210_01_T1_MTL,0
LT04_L1GS_184061_19880204_20170209_01_T2_MTL,1
LT04_L1GS_004050_19920625_20170122_01_T2_MTL,0
LT04_L1TP_183034_19911003_20170125_01_T1_MTL,1
LT04_L1GS_189036_19890313_20170204_01_T2_MTL,0
LT04_L1GS_181018_19880809_20170207_01_T2_MTL,1
LT04_L1TP_183053_19871024_20170210_01_T1_MTL,0
LT04_L1GS_009056_19891229_20170201_01_T2_MTL,1
LT04_L1TP_008053_19891019_20170201_01_T1_MTL,1
LT04_L1GS_187034_19871207_20170210_01_T2_MTL,0
LT04_L1GS_183026_19881127_20170205_01_T2_MTL,0
LT04_L1GS_183026_19890725_20170202_01_T2_MTL,0
LT04_L1GS_007049_19881110_20170205_01_T2_MTL,0
LT04_L1TP_009056_19900810_20170128_01_T1_MTL,1
LT04_L1GS_181024_19890524_20170203_01_T2_MTL,1
LT04_L1GS_004066_19880326_20170209_01_T2_MTL,0
LT04_L1TP_186021_19920807_20170122_01_T1_MTL,1
LT04_L1TP_182034_19890107_20170204_01_T1_MTL,1
LT04_L1GS_182018_19871220_20170210_01_T2_MTL,1
LT04_L1TP_186031_19880524_20170208_01_T1_MTL,1
LT04_L1GS_007053_19900711_20170129_01_T2_MTL,1
LT04_L1GS_008049_19881101_20170206_01_T2_MTL,0
LT04_L1TP_009046_19880516_20170208_01_T2_MTL,1
LT04_L1TP_189040_19880223_20170209_01_T1_MTL,0
LT04_L1GS_005054_19891201_20170201_01_T2_MTL,1
LT04_L1TP_193051_19890901_20170201_01_T1_MTL,1
LT04_L1TP_182038_19880528_20170208_01_T1_MTL,1
LT04_L1GS_005068_19920718_20170122_01_T2_MTL,1
LT04_L1GS_184064_19881220_20170205_01_T2_MTL,0
LT04_L1GS_190116_19890304_20170204_01_T2_MTL,0
LT04_L1TP_007047_19881009_20170206_01_T1_MTL,1
LT04_L1TP_192025_19920801_20170122_01_T1_MTL,1
LT04_L1GS_185115_19890213_20170204_01_T2_MTL,0
LT04_L1TP_007051_19900625_20170130_01_T1_MTL,1
LT04_L1GS_001110_19900207_20170131_01_T2_MTL,0
LT04_L1GS_184062_19881204_20170205_01_T2_MTL,1
LT04_L1TP_002068_19920713_20170123_01_T1_MTL,1
LT04_L1TP_009053_19881226_20170205_01_T1_MTL,1
LT04_L1TP_005055_19871126_20170210_01_T1_MTL,0
LT04_L1TP_002066_19871121_20170210_01_T1_MTL,0
LT04_L1GS_184028_19881220_20170205_01_T2_MTL,1
LT04_L1GS_186035_19881218_20170205_01_T2_MTL,0
LT04_L1TP_009053_19881108_20170206_01_T1_MTL,1
LT04_L1TP_181054_19880130_20170209_01_T1_MTL,0
LT04_L1GS_002054_19930105_20170120_01_T2_MTL,1
LT04_L1GS_190115_19890216_20170204_01_T2_MTL,0
LT04_L1TP_190041_19880317_20170209_01_T1_MTL,1
LT04_L1TP_186058_19890220_20170204_01_T1_MTL,1
LT04_L1GS_181026_19920719_20170122_01_T2_MTL,1
LT04_L1GS_184064_19890326_20170204_01_T2_MTL,0
LT04_L1GS_181023_19880809_20170207_01_T2_MTL,1
LT04_L1TP_182026_19920624_20170122_01_T1_MTL,1
LT04_L1TP_181024_19880809_20170207_01_T1_MTL,1
LT04_L1TP_183034_19910901_20170125_01_T1_MTL,1
LT04_L1TP_009046_19881124_20170205_01_T1_MTL,1
LT04_L1TP_184039_19880424_20170209_01_T1_MTL,1
LT04_L1TP_004056_19920625_20170122_01_T2_MTL,1
LT04_L1TP_009056_19910101_20170127_01_T1_MTL,1
LT04_L1GS_186010_19880422_20170209_01_T2_MTL,0
LT04_L1GS_185026_19900624_20170130_01_T2_MTL,1
LT04_L1TP_191037_19880104_20170210_01_T1_MTL,1
LT04_L1TP_008048_19880930_20170205_01_T1_MTL,1
LT04_L1TP_182033_19910708_20170126_01_T1_MTL,1
LT04_L1GS_184026_19920724_20170122_01_T2_MTL,1
LT04_L1TP_189023_19880513_20170208_01_T1_MTL,1
LT04_L1GS_180023_19881122_20170206_01_T2_MTL,1
LT04_L1TP_186031_19881218_20170205_01_T1_MTL,1
LT04_L1TP_185026_19890520_20170203_01_T1_MTL,1
LT04_L1GS_181025_19881231_20170205_01_T2_MTL,1
LT04_L1GS_183064_19890404_20170204_01_T2_MTL,1
LT04_L1TP_184056_19880307_20170209_01_T1_MTL,1
LT04_L1TP_183064_19880722_20170208_01_T1_MTL,1
LT04_L1GS_182033_19891209_20170201_01_T2_MTL,1
LT04_L1GS_003063_19920618_20170122_01_T2_MTL,0
LT04_L1TP_010021_19821201_20170220_01_T1_MTL,1
LT04_L1GS_009060_19881124_20170206_01_T2_MTL,1
LT04_L1GS_185061_19881211_20170205_01_T2_MTL,1
LT04_L1GS_183066_19890303_20170204_01_T2_MTL,0
LT04_L1GS_183027_19890911_20170201_01_T2_MTL,1
LT04_L1GS_185061_19881227_20170205_01_T2_MTL,1
LT04_L1GS_185060_19890112_20170205_01_T2_MTL,1
LT04_L1TP_185032_19910526_20170127_01_T1_MTL,1
LT04_L1TP_001054_19900530_20170130_01_T1_MTL,1
LT04_L1GS_001026_19821202_20170220_01_T2_MTL,0
LT04_L1TP_005060_19871212_20170210_01_T1_MTL,0
LT04_L1GS_007064_19890318_20170204_01_T2_MTL,1
LT04_L1GS_185056_19880211_20170209_01_T2_MTL,1
LT04_L1GS_003052_19900221_20170131_01_T2_MTL,0
LT04_L1TP_188023_19890626_20170202_01_T1_MTL,0
LT04_L1TP_187056_19901215_20170128_01_T1_MTL,0
LT04_L1GS_186059_19881116_20170205_01_T2_MTL,0
LT04_L1TP_009055_19890316_20170204_01_T1_MTL,1
LT04_L1TP_184041_19880424_20170209_01_T1_MTL,1
LT04_L1TP_183020_19880706_20170208_01_T1_MTL,0
LT04_L1TP_004063_19871205_20170210_01_T1_MTL,0
LT04_L1GS_183114_19891216_20170201_01_T2_MTL,0
LT04_L1TP_008055_19890816_20170202_01_T1_MTL,1
LT04_L1TP_181029_19880606_20170208_01_T1_MTL,1
LT04_L1GS_182032_19891209_20170201_01_T2_MTL,1
LT04_L1TP_004060_19880427_20170209_01_T1_MTL,1
LT04_L1GS_006056_19880409_20170209_01_T2_MTL,0
LT04_L1TP_184043_19880307_20170209_01_T1_MTL,1
LT04_L1GS_186062_19890204_20170204_01_T2_MTL,0
LT04_L1GS_180030_19880818_20170206_01_T2_MTL,0
LT04_L1TP_183026_19920717_20170122_01_T1_MTL,0
LT04_L1GS_182018_19880715_20170208_01_T2_MTL,1
LT04_L1TP_182019_19880629_20170208_01_T1_MTL,1
LT04_L1GS_002224_19890502_20170203_01_T2_MTL,1
LT04_L1GS_007060_19880518_20170208_01_T2_MTL,0
LT04_L1TP_185022_19920816_20170122_01_T1_MTL,1
LT04_L1TP_185028_19880720_20170208_01_T1_MTL,1
LT04_L1TP_192055_19900116_20170131_01_T1_MTL,1
LT04_L1TP_193050_19891003_20170201_01_T1_MTL,1
LT04_L1TP_007051_19900812_20170128_01_T1_MTL,1
LT04_L1TP_193050_19920808_20170122_01_T1_MTL,1
LT04_L1TP_008054_19880914_20170206_01_T1_MTL,1
LT04_L1GS_183035_19881229_20170205_01_T2_MTL,0
LT04_L1GS_010055_19921228_20170121_01_T2_MTL,1
LT04_L1TP_183030_19910731_20170125_01_T1_MTL,1
LT04_L1GS_002223_19900113_20170201_01_T2_MTL,1
LT04_L1GS_180014_19880903_20170206_01_T2_MTL,1
LT04_L1GS_009061_19880617_20170208_01_T2_MTL,1
LT04_L1TP_184040_19871202_20170210_01_T1_MTL,1
LT04_L1TP_181056_19880130_20170209_01_T1_MTL,0
LT04_L1TP_007066_19880822_20170206_01_T1_MTL,1
LT04_L1GS_008020_19830120_20170220_01_T2_MTL,0
LT04_L1GS_184064_19880830_20170206_01_T2_MTL,0
LT04_L1TP_186020_19920604_20170124_01_T1_MTL,0
LT04_L1GS_181019_19880708_20170208_01_T2_MTL,1
LT04_L1GS_007048_19881009_20170205_01_T2_MTL,1
LT04_L1GS_185026_19900710_20170129_01_T2_MTL,1
LT04_L1TP_184031_19890716_20170202_01_T1_MTL,1
LT04_L1GS_009058_19891213_20170201_01_T2_MTL,1
LT04_L1TP_009060_19891111_20170201_01_T1_MTL,1
LT04_L1GS_010052_19880928_20170206_01_T2_MTL,0
LT04_L1TP_182039_19880121_20170209_01_T1_MTL,0
LT04_L1GS_187035_19871223_20170210_01_T2_MTL,0
LT04_L1GS_183117_19891216_20170201_01_T2_MTL,0
LT04_L1TP_191026_19920725_20170122_01_T1_MTL,1
LT04_L1GS_004065_19880223_20170209_01_T2_MTL,1
LT04_L1GS_183110_19900202_20170131_01_T2_MTL,0
LT04_L1GS_003053_19880115_20170210_01_T2_MTL,1
LT04_L1GS_184063_19890105_20170205_01_T2_MTL,1
LT04_L1GS_183066_19890319_20170204_01_T2_MTL,0
LT04_L1GS_010049_19881014_20170205_01_T2_MTL,0
LT04_L1GS_193029_19880829_20170206_01_T2_MTL,1
LT04_L1TP_183028_19880722_20170208_01_T1_MTL,1
LT04_L1TP_181031_19880114_20170210_01_T1_MTL,1
LT04_L1TP_188038_19880216_20170209_01_T1_MTL,1
LT04_L1GS_183023_19880620_20170208_01_T2_MTL,1
LT04_L1TP_192048_19880315_20170209_01_T2_MTL,0
LT04_L1TP_185018_19880704_20170208_01_T1_MTL,1
LT04_L1TP_191024_19920709_20170123_01_T1_MTL,1
LT04_L1TP_181023_19890524_20170203_01_T1_MTL,1
LT04_L1TP_004061_19920828_20170121_01_T1_MTL,1
LT04_L1GS_184022_19880424_20170209_01_T2_MTL,0
LT04_L1TP_182028_19880816_20170206_01_T1_MTL,1
LT04_L1GS_007057_19920614_20170123_01_T2_MTL,1
LT04_L1TP_181041_19881231_20170205_01_T1_MTL,0
LT04_L1GS_187116_19891110_20170201_01_T2_MTL,0
LT04_L1TP_190035_19900526_20170130_01_T1_MTL,0
LT04_L1GS_010051_19880912_20170206_01_T2_MTL,0
LT04_L1TP_181014_19880724_20170208_01_T1_MTL,1
LT04_L1GS_184062_19880611_20170208_01_T2_MTL,1
LT04_L1GS_185060_19880618_20170208_01_T2_MTL,1
LT04_L1GS_005060_19891115_20170201_01_T2_MTL,0
LT04_L1GS_183068_19880316_20170209_01_T2_MTL,0
LT04_L1TP_181027_19890524_20170203_01_T1_MTL,1
LT04_L1TP_007065_19881025_20170205_01_T2_MTL,1
LT04_L1GS_002054_19930310_20170120_01_T2_MTL,1
LT04_L1TP_192051_19880127_20170209_01_T1_MTL,1
LT04_L1GS_002223_19890502_20170203_01_T2_MTL,1
LT04_L1TP_009055_19890706_20170202_01_T1_MTL,1
LT04_L1TP_193037_19880102_20170210_01_T1_MTL,1
LT04_L1TP_005056_19871212_20170210_01_T1_MTL,0
LT04_L1TP_007065_19890809_20170202_01_T1_MTL,1
LT04_L1GS_181018_19880708_20170208_01_T2_MTL,1
LT04_L1TP_185022_19920731_20170122_01_T1_MTL,1
LT04_L1TP_006054_19871101_20170210_01_T1_MTL,1
LT04_L1GS_009059_19900114_20170201_01_T2_MTL,1
LT04_L1TP_010045_19880928_20170205_01_T1_MTL,1
LT04_L1TP_009063_19881210_20170205_01_T1_MTL,1
LT04_L1TP_007053_19890606_20170203_01_T1_MTL,1
LT04_L1TP_010045_19880523_20170208_01_T1_MTL,1
LT04_L1TP_193051_19880930_20170206_01_T1_MTL,1
LT04_L1GS_189115_19900111_20170201_01_T2_MTL,0
LT04_L1TP_193032_19900515_20170130_01_T1_MTL,1
LT04_L1TP_006055_19871101_20170210_01_T1_MTL,0
LT04_L1GS_007011_19920801_20170122_01_T2_MTL,0
LT04_L1TP_182029_19880715_20170208_01_T1_MTL,1
LT04_L1TP_192051_19901218_20170127_01_T1_MTL,1
LT04_L1TP_181020_19880606_20170208_01_T1_MTL,0
LT04_L1GS_007057_19890606_20170203_01_T2_MTL,1
LT04_L1TP_189057_19871221_20170210_01_T1_MTL,0
LT04_L1TP_002055_19921001_20170121_01_T1_MTL,1
LT04_L1GS_010023_19830203_20170220_01_T2_MTL,0
LT04_L1GS_189028_19880513_20170208_01_T2_MTL,1
LT04_L1GS_180025_19881122_20170205_01_T2_MTL,1
LT04_L1TP_190041_19880129_20170209_01_T1_MTL,1
LT04_L1TP_191049_19880511_20170208_01_T1_MTL,0
LT04_L1TP_008054_19871030_20170210_01_T1_MTL,1
LT04_L1TP_191044_19880511_20170208_01_T1_MTL,0
LT04_L1GS_004065_19891108_20170201_01_T2_MTL,1
LT04_L1TP_183024_19920717_20170122_01_T1_MTL,0
LT04_L1TP_192055_19910103_20170128_01_T1_MTL,1
LT04_L1GS_010045_19881014_20170206_01_T2_MTL,1
LT04_L1TP_180020_19920914_20170121_01_T1_MTL,0
LT04_L1GS_184016_19871116_20170210_01_T2_MTL,1
LT04_L1GS_007040_19820822_20170220_01_T2_MTL,0
LT04_L1TP_181054_19880318_20170209_01_T1_MTL,0
LT04_L1TP_007052_19900812_20170128_01_T1_MTL,1
LT04_L1TP_184030_19871116_20170210_01_T1_MTL,1
LT04_L1TP_187046_19880124_20170209_01_T1_MTL,1
LT04_L1TP_190053_19901220_20170127_01_T1_MTL,0
LT04_L1GS_187029_19930326_20170120_01_T2_MTL,1
LT04_L1GS_180020_19880818_20170206_01_T2_MTL,0
LT04_L1TP_007061_19891113_20170201_01_T1_MTL,0
LT04_L1TP_180039_19871206_20170210_01_T1_MTL,1
LT04_L1TP_184031_19880526_20170208_01_T1_MTL,1
LT04_L1GS_007059_19890809_20170202_01_T2_MTL,0
LT04_L1GS_189020_19880716_20170208_01_T2_MTL,1
LT04_L1GS_004113_19890313_20170204_01_T2_MTL,0
LT04_L1TP_187033_19880515_20170208_01_T1_MTL,1
LT04_L1TP_184026_19900516_20170130_01_T1_MTL,1
LT04_L1TP_183023_19890810_20170202_01_T2_MTL,1
LT04_L1TP_186022_19890612_20170203_01_T1_MTL,1
LT04_L1GS_006019_19890106_20170204_01_T2_MTL,0
LT04_L1GS_004114_19880106_20170210_01_T2_MTL,0
LT04_L1TP_008053_19880102_20170210_01_T1_MTL,1
LT04_L1GS_184022_19890630_20170202_01_T2_MTL,1
LT04_L1TP_007070_19880111_20170210_01_T1_MTL,1
LT04_L1GS_180025_19880107_20170210_01_T2_MTL,1
LT04_L1GS_190125_19890131_20170204_01_T2_MTL,0
LT04_L1TP_180022_19880717_20170208_01_T1_MTL,1
LT04_L1TP_180042_19880123_20170209_01_T1_MTL,0
LT04_L1GS_004113_19890108_20170204_01_T2_MTL,0
LT04_L1GS_183063_19880316_20170209_01_T2_MTL,1
LT04_L1GS_010048_19881217_20170205_01_T2_MTL,1
LT04_L1TP_189051_19880106_20170210_01_T1_MTL,0
LT04_L1GS_010035_19871129_20170210_01_T2_MTL,0
LT04_L1GS_183070_19880229_20170209_01_T2_MTL,0
LT04_L1TP_188025_19920704_20170123_01_T1_MTL,1
LT04_L1GS_010048_19881201_20170205_01_T2_MTL,1
LT04_L1TP_001074_19871130_20170210_01_T1_MTL,1
LT04_L1GS_183064_19881010_20170205_01_T2_MTL,1
LT04_L1GS_184061_19890310_20170204_01_T2_MTL,1
LT04_L1GS_185061_19880906_20170206_01_T2_MTL,1
LT04_L1GS_001114_19890220_20170204_01_T2_MTL,0
LT04_L1TP_183038_19880128_20170209_01_T1_MTL,1
LT04_L1GS_186022_19880625_20170208_01_T2_MTL,1
LT04_L1TP_002069_19910727_20170126_01_T1_MTL,1
LT04_L1TP_185033_19890621_20170202_01_T1_MTL,1
LT04_L1TP_182043_19880325_20170209_01_T1_MTL,0
LT04_L1TP_002053_19901231_20170128_01_T1_MTL,1
LT04_L1TP_188038_19890322_20170204_01_T1_MTL,1
LT04_L1TP_007047_19881212_20170205_01_T1_MTL,1
LT04_L1GS_009059_19880601_20170208_01_T2_MTL,1
LT04_L1TP_003054_19920821_20170122_01_T1_MTL,0
LT04_L1TP_004055_19880513_20170208_01_T1_MTL,1
LT04_L1GS_005054_19880605_20170208_01_T2_MTL,1
LT04_L1GS_005061_19871126_20170210_01_T2_MTL,0
LT04_L1TP_186029_19880727_20170208_01_T1_MTL,1
LT04_L1GS_007066_19871226_20170210_01_T2_MTL,1
LT04_L1GS_008057_19901225_20170128_01_T2_MTL,1
LT04_L1TP_184023_19890918_20170201_01_T1_MTL,1
LT04_L1TP_185031_19881227_20170205_01_T1_MTL,1
LT04_L1TP_004055_19920625_20170122_01_T2_MTL,1
LT04_L1TP_002054_19901215_20170128_01_T1_MTL,1
LT04_L1GS_009057_19900810_20170129_01_T2_MTL,1
LT04_L1TP_182033_19900110_20170201_01_T1_MTL,1
LT04_L1GS_182021_19881206_20170205_01_T2_MTL,0
LT04_L1TP_009057_19890604_20170203_01_T1_MTL,1
LT04_L1GS_188012_19880911_20170206_01_T2_MTL,1
LT04_L1GS_182036_19880222_20170209_01_T2_MTL,0
LT04_L1TP_186015_19880913_20170206_01_T1_MTL,1
LT04_L1TP_182027_19880917_20170206_01_T1_MTL,1
LT04_L1GS_186061_19880117_20170210_01_T2_MTL,0
LT04_L1TP_191036_19880104_20170210_01_T1_MTL,1
LT04_L1GS_010057_19890611_20170203_01_T2_MTL,1
LT04_L1TP_186060_19880321_20170209_01_T1_MTL,0
LT04_L1TP_186027_19880812_20170207_01_T1_MTL,1
LT04_L1TP_188025_19920720_20170122_01_T1_MTL,1
LT04_L1GS_192033_19880315_20170209_01_T2_MTL,1
LT04_L1GS_181020_19881129_20170205_01_T2_MTL,0
LT04_L1GS_183069_19871211_20170210_01_T2_MTL,0
LT04_L1TP_004069_19880411_20170209_01_T1_MTL,1
LT04_L1TP_190054_19901220_20170127_01_T1_MTL,0
LT04_L1TP_189030_19920913_20170123_01_T1_MTL,1
LT04_L1GS_184062_19880408_20170209_01_T2_MTL,1
LT04_L1TP_185022_19890909_20170201_01_T1_MTL,1
LT04_L1GS_006021_19890106_20170205_01_T2_MTL,0
LT04_L1GS_009061_19920730_20170122_01_T2_MTL,1
LT04_L1TP_184029_19920724_20170122_01_T1_MTL,1
LT04_L1GS_185063_19880805_20170207_01_T2_MTL,0
LT04_L1TP_192021_19900422_20170130_01_T1_MTL,1
LT04_L1TP_187011_19880718_20170208_01_T1_MTL,1
LT04_L1GS_008056_19880626_20170208_01_T2_MTL,1
LT04_L1GS_004062_19871119_20170210_01_T2_MTL,0
LT04_L1TP_181023_19880606_20170208_01_T1_MTL,1
LT04_L1TP_192029_19900727_20170130_01_T1_MTL,1
